Ano-Calendário;Tipo de Formulário;Faixa de Rendimento;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Completo + Simplificado;Até 22.847,76;11144353;183289,9579;63558,625;447058,3323;5593,126512;5350,094853;6,29989598;236,7317631;4730,766908;1981,99549;12971,23395;1483,572571;1998,25304;1753,79263;239,4969765;4,96343388;21712,31181;132818,7567;3,74246493;0,00025239;3,74221254;228,6957141;231,1651162;2413,865187;18,76418518;2207,117761;251949,3005;42636,92141;3389622,265;23818,03909;804,9941307;14,86935326;234,0282832;6581,706328;23257,78986;2922,013186;435,7174025;2635,953317;151,1999025;5684,08484;17244,21942
2020;Completo + Simplificado;De 22.847,77 até 33.919,80;6879351;256300,6506;30947,42155;99983,94652;8279,331766;7893,374313;5,83965075;380,1178016;6174,121204;3337,177455;11580,77707;1268,627038;1857,257152;1673,141924;181,8644328;2,25079453;32165,29549;191638,1388;2587,809188;0,19923666;2587,609951;59,47161425;2646,848548;5712,414109;446,1249951;3535,754623;80654,80759;7992,269448;981241,2974;5926,736699;442,8556626;9,00859924;176,4944225;6499,313257;13796,47176;1728,892572;189,7272356;886,6908146;31,94883339;1974,546017;3200,278408
2020;Completo + Simplificado;De 33.919,81 até 45.012,60;3924467;203281,319;25469,05975;72709,778;7270,546779;6821,164535;4,3047196;445,0775244;3783,646872;2586,044515;9160,539959;1038,9465;1486,179554;1338,575658;146,1325322;1,47136412;24994,4637;152960,9913;6239,156836;0,96670101;6238,190135;58,61318885;6296,317331;8888,397595;1092,890442;3733,309242;63499,26045;6270,095103;770656,8233;5462,34431;488,2491891;11,7661574;185,6004471;5524,402844;11462,64514;1380,714319;150,9451942;744,5495562;35,76696929;1646,937028;3010,361072
2020;Completo + Simplificado;De 45.012,61 até 55.976,16;2440361;161596,2939;20713,93255;57647,976;6075,520381;5606,116746;3,42585089;465,9777843;2425,8086;1970,134657;7171,353643;884,2454257;1188,460433;1067,887737;119,5714466;1,00124905;19653,36783;122227,4228;8875,820326;1,8679754;8873,952351;58,7776639;8932,237015;10618,39677;1520,751527;3269,651864;52098,2379;4980,043796;612533,5617;4366,166793;526,5704451;13,53105532;182,6629807;4566,254342;9357,76264;1104,638197;124,078748;644,1010686;35,20775314;1371,070821;2343,749104
2020;Completo + Simplificado;Acima de 55.976,16;7246305;1170964,001;190588,6778;418663,6053;71406,61022;56476,0398;32,21697;14898,35345;10058,01038;9072,256578;51218,98678;13975,7901;9137,888655;8073,374253;1059,78155;4,73285204;50808,37616;955286,1324;187129,9652;309,6236223;186820,3416;636,5142327;187453,8231;177007,8281;22183,96645;13525,29651;393483,5992;48444,64712;5380249,138;48367,50516;13757,66389;896,2239056;3150,0259;29794,63109;58986,24726;8179,739056;1076,709316;4685,396285;255,6043295;13793,76073;33668,07998
2020;Completo;Até 22.847,76;4294472;74728,33856;35950,55646;218252,4048;5593,126512;5350,094853;6,29989598;236,7317631;4730,766908;1981,99549;12971,23395;1483,572571;1998,25304;1753,79263;239,4969765;4,96343388;0;45969,44916;2,4696542;0,00025239;2,46940181;125,6690409;128,1384429;1513,431973;12,43178781;1397,725318;120286,7523;21658,74527;1684520,21;11684,82155;561,2515661;1,59003855;160,4304938;5213,871784;17867,60881;2506,185433;371,2362263;1493,727625;86,38305032;3541,748962;10706,03413
2020;Completo;De 22.847,77 até 33.919,80;2261006;95474,0913;12513,45354;41069,95282;8279,331766;7893,374313;5,83965075;380,1178016;6174,121204;3337,177455;11580,77707;1268,627038;1857,257152;1673,141924;181,8644328;2,25079453;0;62976,87496;851,9047707;0,19923666;851,7055341;28,25485302;879,9603871;2574,294071;107,7513451;1802,085029;32337,73511;3118,032363;367750,0971;2638,832592;342,887308;3,52632854;137,9799244;5836,588865;11676,18496;1678,048038;182,2569962;370,5697313;14,38898704;910,1841124;1296,490664
2020;Completo;De 33.919,81 até 45.012,60;1358971;78308,95289;10648,09372;30476,38234;7270,546779;6821,164535;4,3047196;445,0775244;3783,646872;2586,044515;9160,539959;1038,9465;1486,179554;1338,575658;146,1325322;1,47136412;0;52983,08885;2164,775259;0,96670101;2163,808558;22,79756249;2186,60612;3831,724886;261,721223;1906,839989;25700,84217;2388,23739;317636,5158;1993,990326;384,3947593;5,52661801;143,3510675;4847,916117;9251,086262;1342,041535;146,4987487;300,4749988;11,23722459;724,0946153;1232,285662
2020;Completo;De 45.012,61 até 55.976,16;870663;63329,42536;8787,102554;25324,42626;6075,520381;5606,116746;3,42585089;465,9777843;2425,8086;1970,134657;7171,353643;884,2454257;1188,460433;1067,887737;119,5714466;1,00124905;0;43613,92219;3169,602157;1,8679754;3167,734182;20,49188525;3188,226067;4410,743194;381,4331273;1603,950254;21777,99228;2011,083134;255182,8011;1769,266154;422,4455778;6,71824906;138,3170906;3945,367749;7251,171669;1071,174139;119,8493341;252,0019297;15,72913479;621,3208432;948,7397524
2020;Completo;Acima de 55.976,16;4118428;811322,7181;133540,2612;260758,8353;71406,61022;56476,0398;32,21697;14898,35345;10058,01038;9072,256578;51218,98678;13975,7901;9137,888655;8073,374253;1059,78155;4,73285204;0;646453,2259;134828,912;309,6236223;134519,2884;489,0886159;135008,3771;133432,8262;11704,58762;10129,03674;254374,6997;32477,40333;3574484,393;32881,02644;13170,76744;834,3380559;2898,290382;27683,82137;52681,41241;8110,766961;1065,81498;3075,072721;113,0262741;9715,917653;22718,39136
