ano,delegacao,nivel_renda,media_gdp,total_medalhas,qtd_paises
2004,AFG,,1776,0,1
2008,AFG,,2191,1,1
2004,BDI,,965,0,1
1996,BDI,,1040,1,1
2008,BDI,,957,0,1
2000,BDI,,988,0,1
2016,BDI,,897,1,1
2012,BDI,,958,0,1
1992,BIH,,2150,0,1
2012,CAF,,1577,0,1
1996,CAF,,1247,0,1
2008,CAF,,1283,0,1
2016,CAF,,1073,0,1
2004,CAF,,1236,0,1
1992,CAF,,1294,0,1
2000,CAF,,1245,0,1
1992,CHN,,2030,81,1
2012,COD,,1104,0,1
2016,COD,,1253,0,1
2004,COD,,892,0,1
2008,COD,,996,0,1
1996,COD,,1194,0,1
2000,COD,,886,0,1
1992,COD,,1664,0,1
1996,COM,,2173,0,1
2004,ETH,,877,7,1
2000,ETH,,810,8,1
2008,ETH,,1193,7,1
2012,ETH,,1576,7,1
1996,ETH,,826,3,1
1992,ETH,,680,3,1
2016,ETH,,2084,8,1
2008,KIR,,2172,0,1
1992,LAO,,2088,0,1
2004,LBR,,1326,0,1
1996,LBR,,582,0,1
2000,LBR,,1868,0,1
2016,LBR,,1653,0,1
2008,LBR,,1463,0,1
2012,LBR,,1668,0,1
2000,MLI,,1912,0,1
1996,MLI,,1783,0,1
1992,MLI,,1679,0,1
2012,MOZ,,1338,0,1
1996,MOZ,,562,1,1
2000,MOZ,,711,1,1
1992,MOZ,,510,0,1
2016,MOZ,,1537,0,1
2008,MOZ,,1141,0,1
2004,MOZ,,934,0,1
2008,RWA,,1641,0,1
2004,RWA,,1277,0,1
1996,RWA,,888,0,1
2012,RWA,,1988,0,1
1992,RWA,,1112,0,1
2000,RWA,,1016,0,1
1996,SLE,,2086,0,1
2000,SLE,,1983,0,1
2016,SOM,,1383,0,1
2008,SOM,,918,0,1
2012,SOM,,1114,0,1
1996,SOM,,663,0,1
2004,SOM,,802,0,1
2000,SOM,,702,0,1
2004,TJK,,1878,0,1
1996,TJK,,1175,0,1
2000,TJK,,1365,0,1
2000,UGA,,1487,0,1
2008,UGA,,2110,0,1
1992,UGA,,1102,0,1
2004,UGA,,1709,0,1
1996,UGA,,1367,1,1
2008,AND,Alta Renda,60691,0,1
2012,AND,Alta Renda,58172,0,1
2004,AND,Alta Renda,64353,0,1
2000,AND,Alta Renda,54809,0,1
2016,AND,Alta Renda,64402,0,1
2012,AUS,Alta Renda,54237,112,1
2016,AUS,Alta Renda,56341,79,1
2012,AUT,Alta Renda,61451,0,1
2004,AUT,Alta Renda,56048,8,1
2016,AUT,Alta Renda,61647,2,1
2008,AUT,Alta Renda,61232,3,1
2008,BEL,Alta Renda,56812,5,1
2012,BEL,Alta Renda,56381,3,1
2016,BEL,Alta Renda,57927,21,1
2000,BRN,Alta Renda,100323,0,1
2012,BRN,Alta Renda,89718,1,1
2004,BRN,Alta Renda,101497,0,1
2016,BRN,Alta Renda,78880,2,1
1996,BRN,Alta Renda,102522,0,1
2008,BRN,Alta Renda,91275,0,1
1992,BRN,Alta Renda,111457,0,1
2016,CAN,Alta Renda,55606,67,1
2008,FIN,Alta Renda,57494,5,1
2012,HKG,Alta Renda,59015,1,1
2008,HKG,Alta Renda,54630,0,1
2016,HKG,Alta Renda,63749,0,1
2008,IRL,Alta Renda,62401,3,1
2004,IRL,Alta Renda,61638,0,1
2016,IRL,Alta Renda,80997,3,1
2012,IRL,Alta Renda,59508,5,1
2012,ISL,Alta Renda,55719,0,1
2016,ISL,Alta Renda,62880,0,1
2008,ISL,Alta Renda,60963,13,1
2000,LUX,Alta Renda,114141,0,1
1996,LUX,Alta Renda,92416,0,1
2008,LUX,Alta Renda,135812,0,1
2012,LUX,Alta Renda,128895,0,1
1992,LUX,Alta Renda,87729,0,1
2004,LUX,Alta Renda,123720,0,1
2016,LUX,Alta Renda,133661,0,1
2000,NOR,Alta Renda,77587,42,1
2012,NOR,Alta Renda,84237,16,1
1996,NOR,Alta Renda,69764,23,1
1992,NOR,Alta Renda,60333,22,1
2016,NOR,Alta Renda,85787,19,1
2008,NOR,Alta Renda,86379,21,1
2004,NOR,Alta Renda,82440,7,1
1992,QAT,Alta Renda,73451,1,1
2008,QAT,Alta Renda,109206,0,1
2004,QAT,Alta Renda,107023,0,1
2000,QAT,Alta Renda,93187,1,1
1996,QAT,Alta Renda,69746,0,1
2016,QAT,Alta Renda,120054,1,1
2012,QAT,Alta Renda,143830,2,1
1996,SGP,Alta Renda,61381,0,1
2016,SGP,Alta Renda,111579,1,1
2004,SGP,Alta Renda,78039,0,1
2008,SGP,Alta Renda,87329,3,1
2000,SGP,Alta Renda,68314,0,1
2012,SGP,Alta Renda,101187,4,1
2012,SMR,Alta Renda,58176,0,1
2000,SMR,Alta Renda,77149,0,1
2016,SMR,Alta Renda,60669,0,1
2008,SMR,Alta Renda,85120,0,1
2004,SMR,Alta Renda,80724,0,1
2016,SWE,Alta Renda,59608,27,1
2008,SWE,Alta Renda,55784,7,1
2012,SWE,Alta Renda,56200,21,1
2016,USA,Alta Renda,65017,257,1
2004,USA,Alta Renda,58131,259,1
2000,USA,Alta Renda,55038,234,1
2012,USA,Alta Renda,61134,242,1
2008,USA,Alta Renda,60798,305,1
2012,AFG,Baixa Renda,2985,1,1
2016,AFG,Baixa Renda,2958,0,1
1996,ARM,Baixa Renda,3717,2,1
2000,BEN,Baixa Renda,2536,0,1
1992,BEN,Baixa Renda,2226,0,1
